Zeitstempel;Bandgeschwindigkeit_m_min;Bandbreite_mm;Banddicke_mm;Ofenleistung_Prozent;Solltemperatur_Betrieb_C;Solltemperatur_Stillstand_C;IstTemperatur_C;LuftmesserOS_mbar;LuftmesserUS_mbar;Wasserkuehlung_W;TemperaturUnterRolle_C;LegierungsNr;ZustandBandlauf;BandlaengeImOfen_m
15.01.2024 06:12:00;0,0;900;0,5;44,5;270,0;265,0;276,84;0;0;0;35,0;0;0;0,0
15.01.2024 06:12:30;0,0;900;0,5;44,4;270,0;265,0;277,19;0;0;0;35,0;0;0;0,0
15.01.2024 06:13:00;0,0;900;0,5;44,4;270,0;265,0;277,66;0;0;0;35,0;0;0;0,0
15.01.2024 06:13:30;0,0;900;0,5;44,2;270,0;265,0;277,82;0;0;0;35,0;0;0;0,0
15.01.2024 06:14:00;0,0;900;0,5;44,2;270,0;265,0;278,81;0;0;0;35,0;0;0;0,0
15.01.2024 06:14:30;0,0;900;0,5;44,3;270,0;265,0;279,85;0;0;0;35,0;0;0;0,0
15.01.2024 06:15:00;40,0;900;0,5;71,3;270,0;265,0;279,45;330;299;0;255,0;0;1;120,0
15.01.2024 06:15:30;40,0;900;0,5;71,3;270,0;265,0;278,81;305;323;0;255,0;0;1;120,0
15.01.2024 06:16:00;40,0;900;0,5;71,2;270,0;265,0;278,19;281;368;0;255,0;0;1;120,0
15.01.2024 06:16:30;40,0;900;0,5;71,1;270,0;265,0;277,37;299;318;0;255,0;0;1;120,0
15.01.2024 06:17:00;40,0;900;0,5;71,0;270,0;265,0;278,11;349;351;0;255,0;0;1;120,0
15.01.2024 06:17:30;40,0;900;0,5;71,0;270,0;265,0;277,83;300;290;0;255,0;0;1;120,0
15.01.2024 06:18:00;40,0;900;0,5;71,0;270,0;265,0;277,94;317;353;0;255,0;0;1;120,0
15.01.2024 06:18:30;40,0;900;0,5;71,0;270,0;265,0;278,0;280;358;0;255,0;0;1;120,0
15.01.2024 06:19:00;40,0;900;0,5;70,9;270,0;265,0;278,2;363;363;0;255,0;0;1;120,0
15.01.2024 06:19:30;40,0;900;0,5;70,9;270,0;265,0;278,16;295;347;0;255,0;0;1;120,0
15.01.2024 06:20:00;40,0;900;0,5;70,9;270,0;265,0;278,39;307;317;0;255,0;0;1;120,0
15.01.2024 06:20:30;40,0;900;0,5;71,0;270,0;265,0;278,19;368;286;0;255,0;0;1;120,0
15.01.2024 06:21:00;40,0;900;0,5;71,2;270,0;265,0;278,5;331;332;0;255,0;0;1;120,0
15.01.2024 06:21:30;40,0;900;0,5;71,2;270,0;265,0;279,37;365;356;0;255,0;0;1;120,0
15.01.2024 06:22:00;40,0;900;0,5;71,1;270,0;265,0;278,77;344;299;0;255,0;0;1;120,0
15.01.2024 06:22:30;40,0;900;0,5;71,1;270,0;265,0;278,81;354;307;0;255,0;0;1;120,0
15.01.2024 06:23:00;40,0;900;0,5;71,1;270,0;265,0;279,16;289;334;0;255,0;0;1;120,0
15.01.2024 06:23:30;40,0;900;0,5;71,0;270,0;265,0;279,28;334;355;0;255,0;0;1;120,0
15.01.2024 06:24:00;40,0;900;0,5;71,0;270,0;265,0;278,8;331;370;0;255,0;0;1;120,0
15.01.2024 06:24:30;40,0;900;0,5;70,9;270,0;265,0;279,15;367;293;0;255,0;0;1;120,0
15.01.2024 06:25:00;40,0;900;0,5;71,0;270,0;265,0;279,6;316;298;0;255,0;0;1;120,0
15.01.2024 06:25:30;40,0;900;0,5;70,9;270,0;265,0;279,46;340;360;0;255,0;0;1;120,0
15.01.2024 06:26:00;40,0;900;0,5;71,0;270,0;265,0;279,51;286;344;0;255,0;0;1;120,0
15.01.2024 06:26:30;40,0;900;0,5;71,0;270,0;265,0;280,01;319;352;0;255,0;0;1;120,0
15.01.2024 06:27:00;40,0;900;0,5;70,9;270,0;265,0;279,39;312;380;0;255,0;0;1;120,0
15.01.2024 06:27:30;40,0;900;0,5;70,8;270,0;265,0;279,69;295;374;0;255,0;0;1;120,0
15.01.2024 06:28:00;40,0;900;0,5;70,8;270,0;265,0;279,55;362;364;0;255,0;0;1;120,0
15.01.2024 06:28:30;40,0;900;0,5;70,8;270,0;265,0;280,21;318;358;0;255,0;0;1;120,0
15.01.2024 06:29:00;40,0;900;0,5;70,8;270,0;265,0;279,22;378;320;0;255,0;0;1;120,0
15.01.2024 06:29:30;40,0;900;0,5;70,8;270,0;265,0;279,65;339;344;0;255,0;0;1;120,0
15.01.2024 06:30:00;60,0;900;0,5;70,7;270,0;265,0;279,49;341;298;0;255,0;0;1;120,0
15.01.2024 06:30:30;60,0;900;0,5;70,7;270,0;265,0;279,61;344;356;0;255,0;0;1;120,0
15.01.2024 06:31:00;60,0;900;0,5;70,6;270,0;265,0;279,37;348;356;0;255,0;0;1;120,0
15.01.2024 06:31:30;60,0;900;0,5;70,5;270,0;265,0;279,42;295;352;0;255,0;0;1;120,0
15.01.2024 06:32:00;60,0;900;0,5;70,5;270,0;265,0;278,35;324;324;0;255,0;0;1;120,0
15.01.2024 06:32:30;60,0;900;0,5;70,3;270,0;265,0;278,88;304;318;0;255,0;0;1;120,0
15.01.2024 06:33:00;60,0;900;0,5;70,3;270,0;265,0;278,4;320;322;0;255,0;0;1;120,0
15.01.2024 06:33:30;60,0;900;0,5;70,3;270,0;265,0;278,17;290;283;0;255,0;0;1;120,0
15.01.2024 06:34:00;60,0;900;0,5;70,3;270,0;265,0;278,33;377;364;0;255,0;0;1;120,0
15.01.2024 06:34:30;60,0;900;0,5;70,3;270,0;265,0;277,74;302;334;0;255,0;0;1;120,0
15.01.2024 06:35:00;60,0;900;0,5;70,3;270,0;265,0;277,23;347;319;0;255,0;0;1;120,0
15.01.2024 06:35:30;60,0;900;0,5;70,2;270,0;265,0;277,6;310;335;0;255,0;0;1;120,0
15.01.2024 06:36:00;60,0;900;0,5;70,2;270,0;265,0;277,09;367;352;0;255,0;0;1;120,0
15.01.2024 06:36:30;60,0;900;0,5;70,1;270,0;265,0;277,19;346;318;0;255,0;0;1;120,0
15.01.2024 06:37:00;60,0;900;0,5;70,1;270,0;265,0;277,36;293;363;0;255,0;0;1;120,0
15.01.2024 06:37:30;60,0;900;0,5;70,0;270,0;265,0;277,18;365;372;0;255,0;0;1;120,0
15.01.2024 06:38:00;60,0;900;0,5;70,1;270,0;265,0;277,41;374;319;0;255,0;0;1;120,0
15.01.2024 06:38:30;60,0;900;0,5;70,1;270,0;265,0;276,75;370;294;0;255,0;0;1;120,0
15.01.2024 06:39:00;60,0;900;0,5;70,1;270,0;265,0;276,21;337;356;0;255,0;0;1;120,0
15.01.2024 06:39:30;60,0;900;0,5;70,0;270,0;265,0;276,31;295;379;0;255,0;0;1;120,0
15.01.2024 06:40:00;60,0;900;0,5;70,1;270,0;265,0;276,19;299;295;0;255,0;0;1;120,0
15.01.2024 06:40:30;60,0;900;0,5;69,9;270,0;265,0;275,97;373;351;0;255,0;0;1;120,0
15.01.2024 06:41:00;60,0;900;0,5;70,0;270,0;265,0;276,33;335;363;0;255,0;0;1;120,0
15.01.2024 06:41:30;60,0;900;0,5;70,0;270,0;265,0;275,9;298;372;0;255,0;0;1;120,0
15.01.2024 06:42:00;60,0;900;0,5;70,0;270,0;265,0;275,41;368;292;0;255,0;0;1;120,0
15.01.2024 06:42:30;60,0;900;0,5;70,0;270,0;265,0;276,13;344;289;0;255,0;0;1;120,0
15.01.2024 06:43:00;60,0;900;0,5;70,0;270,0;265,0;275,77;337;379;0;255,0;0;1;120,0
15.01.2024 06:43:30;60,0;900;0,5;70,0;270,0;265,0;275,85;318;292;0;255,0;0;1;120,0
15.01.2024 06:44:00;60,0;900;0,5;70,0;270,0;265,0;275,72;321;298;0;255,0;0;1;120,0
15.01.2024 06:44:30;60,0;900;0,5;70,1;270,0;265,0;275,8;304;337;0;255,0;0;1;120,0
15.01.2024 06:45:00;60,0;900;0,5;70,1;270,0;265,0;275,58;284;325;0;255,0;0;1;120,0
15.01.2024 06:45:30;60,0;900;0,5;69,9;270,0;265,0;275,83;368;355;0;255,0;0;1;120,0
15.01.2024 06:46:00;60,0;900;0,5;70,0;270,0;265,0;275,53;327;299;0;255,0;0;1;120,0
15.01.2024 06:46:30;60,0;900;0,5;70,1;270,0;265,0;275,43;335;371;0;255,0;0;1;120,0
15.01.2024 06:47:00;60,0;900;0,5;70,2;270,0;265,0;275,39;312;302;0;255,0;0;1;120,0
15.01.2024 06:47:30;60,0;900;0,5;70,2;270,0;265,0;274,74;355;357;0;255,0;0;1;120,0
15.01.2024 06:48:00;60,0;900;0,5;70,1;270,0;265,0;275,12;283;287;0;255,0;0;1;120,0
15.01.2024 06:48:30;60,0;900;0,5;70,1;270,0;265,0;275,03;317;327;0;255,0;0;1;120,0
15.01.2024 06:49:00;60,0;900;0,5;70,1;270,0;265,0;275,17;283;283;0;255,0;0;1;120,0
15.01.2024 06:49:30;60,0;900;0,5;69,9;270,0;265,0;274,68;292;311;0;255,0;0;1;120,0
15.01.2024 06:50:00;60,0;900;0,5;70,0;270,0;265,0;275,5;377;311;0;255,0;0;1;120,0
15.01.2024 06:50:30;60,0;900;0,5;69,8;270,0;265,0;274,96;346;352;0;255,0;0;1;120,0
15.01.2024 06:51:00;60,0;900;0,5;69,7;270,0;265,0;274,52;323;326;0;255,0;0;1;120,0
15.01.2024 06:51:30;60,0;900;0,5;69,7;270,0;265,0;274,34;332;286;0;255,0;0;1;120,0
15.01.2024 06:52:00;60,0;900;0,5;69,8;270,0;265,0;274,69;367;380;0;255,0;0;1;120,0
15.01.2024 06:52:30;60,0;900;0,5;69,7;270,0;265,0;274,68;314;369;0;255,0;0;1;120,0
15.01.2024 06:53:00;60,0;900;0,5;69,8;270,0;265,0;274,41;339;372;0;255,0;0;1;120,0
15.01.2024 06:53:30;60,0;900;0,5;69,9;270,0;265,0;274,61;348;305;0;255,0;0;1;120,0
15.01.2024 06:54:00;60,0;900;0,5;70,0;270,0;265,0;274,35;316;319;0;255,0;0;1;120,0
15.01.2024 06:54:30;60,0;900;0,5;70,0;270,0;265,0;274,68;332;303;0;255,0;0;1;120,0
15.01.2024 06:55:00;60,0;900;0,5;70,0;270,0;265,0;274,26;357;292;0;255,0;0;1;120,0
15.01.2024 06:55:30;60,0;900;0,5;69,9;270,0;265,0;274,43;371;283;0;255,0;0;1;120,0
15.01.2024 06:56:00;60,0;900;0,5;69,9;270,0;265,0;274,72;295;330;0;255,0;0;1;120,0
15.01.2024 06:56:30;60,0;900;0,5;69,9;270,0;265,0;275,15;373;292;0;255,0;0;1;120,0
15.01.2024 06:57:00;60,0;900;0,5;69,9;270,0;265,0;274,09;281;298;0;255,0;0;1;120,0
15.01.2024 06:57:30;60,0;900;0,5;69,9;270,0;265,0;274,19;355;366;0;255,0;0;1;120,0
15.01.2024 06:58:00;60,0;900;0,5;70,0;270,0;265,0;274,03;361;328;0;255,0;0;1;120,0
15.01.2024 06:58:30;60,0;900;0,5;69,9;270,0;265,0;274,52;294;298;0;255,0;0;1;120,0
15.01.2024 06:59:00;60,0;900;0,5;69,9;270,0;265,0;273,9;322;347;0;255,0;0;1;120,0
15.01.2024 06:59:30;60,0;900;0,5;70,0;270,0;265,0;274,06;362;307;0;255,0;0;1;120,0
15.01.2024 07:00:00;80,0;1100;0,35;70,0;270,0;265,0;274,11;281;333;0;255,0;0;1;120,0
15.01.2024 07:00:30;80,0;1100;0,35;70,1;270,0;265,0;273,71;343;308;0;255,0;0;1;120,0
15.01.2024 07:01:00;80,0;1100;0,35;70,2;270,0;265,0;273,58;359;332;0;255,0;0;1;120,0
15.01.2024 07:01:30;80,0;1100;0,35;70,1;270,0;265,0;273,61;331;343;0;255,0;0;1;120,0
15.01.2024 07:02:00;80,0;1100;0,35;70,2;270,0;265,0;273,01;353;334;0;255,0;0;1;120,0
15.01.2024 07:02:30;80,0;1100;0,35;70,1;270,0;265,0;273,13;303;320;0;255,0;0;1;120,0
15.01.2024 07:03:00;80,0;1100;0,35;70,0;270,0;265,0;273,35;300;359;0;255,0;0;1;120,0
15.01.2024 07:03:30;80,0;1100;0,35;70,0;270,0;265,0;273,42;316;367;0;255,0;0;1;120,0
15.01.2024 07:04:00;80,0;1100;0,35;70,0;270,0;265,0;273,28;298;298;0;255,0;0;1;120,0
15.01.2024 07:04:30;80,0;1100;0,35;70,0;270,0;265,0;272,75;315;294;0;255,0;0;1;120,0
15.01.2024 07:05:00;80,0;1100;0,35;69,9;270,0;265,0;273,05;375;291;0;255,0;0;1;120,0
15.01.2024 07:05:30;80,0;1100;0,35;69,9;270,0;265,0;273,33;337;378;0;255,0;0;1;120,0
15.01.2024 07:06:00;80,0;1100;0,35;69,8;270,0;265,0;273,16;314;374;0;255,0;0;1;120,0
15.01.2024 07:06:30;80,0;1100;0,35;69,7;270,0;265,0;272,93;307;303;0;255,0;0;1;120,0
15.01.2024 07:07:00;80,0;1100;0,35;69,6;270,0;265,0;272,59;375;377;0;255,0;0;1;120,0
15.01.2024 07:07:30;80,0;1100;0,35;69,5;270,0;265,0;273,0;324;301;0;255,0;0;1;120,0
15.01.2024 07:08:00;80,0;1100;0,35;69,6;270,0;265,0;272,54;378;331;0;255,0;0;1;120,0
15.01.2024 07:08:30;80,0;1100;0,35;69,6;270,0;265,0;272,3;332;330;0;255,0;0;1;120,0
15.01.2024 07:09:00;80,0;1100;0,35;69,6;270,0;265,0;272,32;332;371;0;255,0;0;1;120,0
15.01.2024 07:09:30;80,0;1100;0,35;69,6;270,0;265,0;272,94;370;284;0;255,0;0;1;120,0
15.01.2024 07:10:00;80,0;1100;0,35;69,6;270,0;265,0;272,51;354;312;0;255,0;0;1;120,0
15.01.2024 07:10:30;80,0;1100;0,35;69,4;270,0;265,0;272,72;338;340;0;255,0;0;1;120,0
15.01.2024 07:11:00;80,0;1100;0,35;69,4;270,0;265,0;272,21;323;287;0;255,0;0;1;120,0
15.01.2024 07:11:30;80,0;1100;0,35;69,5;270,0;265,0;272,57;368;304;0;255,0;0;1;120,0
15.01.2024 07:12:00;80,0;1100;0,35;69,5;270,0;265,0;272,07;321;327;0;255,0;0;1;120,0
15.01.2024 07:12:30;80,0;1100;0,35;69,7;270,0;265,0;272,12;372;368;0;255,0;0;1;120,0
15.01.2024 07:13:00;80,0;1100;0,35;69,7;270,0;265,0;272,88;287;356;0;255,0;0;1;120,0
15.01.2024 07:13:30;80,0;1100;0,35;69,8;270,0;265,0;272,3;323;363;0;255,0;0;1;120,0
15.01.2024 07:14:00;80,0;1100;0,35;69,8;270,0;265,0;271,86;332;356;0;255,0;0;1;120,0
15.01.2024 07:14:30;80,0;1100;0,35;69,9;270,0;265,0;271,92;375;351;0;255,0;0;1;120,0
15.01.2024 07:15:00;60,0;900;0,5;69,8;270,0;265,0;272,08;305;365;0;255,0;0;1;120,0
15.01.2024 07:15:30;60,0;900;0,5;69,8;270,0;265,0;272,37;361;348;0;255,0;0;1;120,0
15.01.2024 07:16:00;60,0;900;0,5;69,9;270,0;265,0;271,88;348;354;0;255,0;0;1;120,0
15.01.2024 07:16:30;60,0;900;0,5;70,0;270,0;265,0;271,55;352;310;0;255,0;0;1;120,0
15.01.2024 07:17:00;60,0;900;0,5;70,0;270,0;265,0;272,05;343;297;0;255,0;0;1;120,0
15.01.2024 07:17:30;60,0;900;0,5;70,0;270,0;265,0;272,15;377;356;0;255,0;0;1;120,0
15.01.2024 07:18:00;60,0;900;0,5;70,0;270,0;265,0;272,25;313;297;0;255,0;0;1;120,0
15.01.2024 07:18:30;60,0;900;0,5;70,1;270,0;265,0;272,64;320;372;0;255,0;0;1;120,0
15.01.2024 07:19:00;60,0;900;0,5;70,1;270,0;265,0;272,39;300;340;0;255,0;0;1;120,0
15.01.2024 07:19:30;60,0;900;0,5;70,3;270,0;265,0;272,62;285;313;0;255,0;0;1;120,0
15.01.2024 07:20:00;60,0;900;0,5;70,2;270,0;265,0;272,07;301;374;0;255,0;0;1;120,0
15.01.2024 07:20:30;60,0;900;0,5;70,2;270,0;265,0;272,7;372;296;0;255,0;0;1;120,0
15.01.2024 07:21:00;60,0;900;0,5;70,2;270,0;265,0;273,08;364;331;0;255,0;0;1;120,0
15.01.2024 07:21:30;60,0;900;0,5;70,2;270,0;265,0;272,77;291;289;0;255,0;0;1;120,0
15.01.2024 07:22:00;60,0;900;0,5;70,3;270,0;265,0;272,63;340;377;0;255,0;0;1;120,0
15.01.2024 07:22:30;60,0;900;0,5;70,2;270,0;265,0;272,63;328;338;0;255,0;0;1;120,0
15.01.2024 07:23:00;60,0;900;0,5;70,1;270,0;265,0;273,13;339;360;0;255,0;0;1;120,0
15.01.2024 07:23:30;60,0;900;0,5;70,1;270,0;265,0;272,35;346;308;0;255,0;0;1;120,0
15.01.2024 07:24:00;60,0;900;0,5;70,1;270,0;265,0;272,62;311;360;0;255,0;0;1;120,0
15.01.2024 07:24:30;60,0;900;0,5;70,0;270,0;265,0;272,8;376;350;0;255,0;0;1;120,0
15.01.2024 07:25:00;60,0;900;0,5;70,0;270,0;265,0;272,9;327;344;0;255,0;0;1;120,0
15.01.2024 07:25:30;60,0;900;0,5;70,1;270,0;265,0;272,55;343;375;0;255,0;0;1;120,0
15.01.2024 07:26:00;60,0;900;0,5;70,1;270,0;265,0;272,8;344;323;0;255,0;0;1;120,0
15.01.2024 07:26:30;60,0;900;0,5;70,1;270,0;265,0;272,67;298;322;0;255,0;0;1;120,0
15.01.2024 07:27:00;60,0;900;0,5;70,2;270,0;265,0;272,83;286;349;0;255,0;0;1;120,0
15.01.2024 07:27:30;60,0;900;0,5;70,1;270,0;265,0;272,76;321;364;0;255,0;0;1;120,0
15.01.2024 07:28:00;60,0;900;0,5;70,2;270,0;265,0;272,48;356;314;0;255,0;0;1;120,0
15.01.2024 07:28:30;60,0;900;0,5;70,2;270,0;265,0;272,81;362;347;0;255,0;0;1;120,0
15.01.2024 07:29:00;60,0;900;0,5;70,1;270,0;265,0;273,11;353;301;0;255,0;0;1;120,0
15.01.2024 07:29:30;60,0;900;0,5;70,1;270,0;265,0;272,6;291;335;0;255,0;0;1;120,0
15.01.2024 07:30:00;0,0;900;0,5;43,1;270,0;265,0;273,84;0;0;0;35,0;0;0;0,0
15.01.2024 07:30:30;0,0;900;0,5;43,1;270,0;265,0;275,13;0;0;0;35,0;0;0;0,0
15.01.2024 07:31:00;0,0;900;0,5;43,1;270,0;265,0;275,63;0;0;0;35,0;0;0;0,0
15.01.2024 07:31:30;0,0;900;0,5;43,1;270,0;265,0;277,02;0;0;0;35,0;0;0;0,0
15.01.2024 07:32:00;0,0;900;0,5;43,1;270,0;265,0;277,11;0;0;0;35,0;0;0;0,0
15.01.2024 07:32:30;0,0;900;0,5;43,0;270,0;265,0;278,23;0;0;0;35,0;0;0;0,0
15.01.2024 07:33:00;0,0;900;0,5;43,1;270,0;265,0;279,04;0;0;0;35,0;0;0;0,0
15.01.2024 07:33:30;0,0;900;0,5;43,1;270,0;265,0;279,42;0;0;0;35,0;0;0;0,0
15.01.2024 07:34:00;0,0;900;0,5;43,0;270,0;265,0;279,2;0;0;0;35,0;0;0;0,0
15.01.2024 07:34:30;0,0;900;0,5;43,1;270,0;265,0;279,94;0;0;0;35,0;0;0;0,0
15.01.2024 07:35:00;0,0;900;0,5;43,3;270,0;265,0;280,21;0;0;0;35,0;0;0;0,0
15.01.2024 07:35:30;0,0;900;0,5;43,5;270,0;265,0;280,66;0;0;0;35,0;0;0;0,0
15.01.2024 07:36:00;0,0;900;0,5;43,5;270,0;265,0;281,54;0;0;0;35,0;0;0;0,0
15.01.2024 07:36:30;0,0;900;0,5;43,5;270,0;265,0;281,13;0;0;0;35,0;0;0;0,0
15.01.2024 07:37:00;0,0;900;0,5;43,6;270,0;265,0;282,3;0;0;0;35,0;0;0;0,0
15.01.2024 07:37:30;0,0;900;0,5;43,6;270,0;265,0;282,42;0;0;0;35,0;0;0;0,0
15.01.2024 07:38:00;0,0;900;0,5;43,5;270,0;265,0;283,31;0;0;0;35,0;0;0;0,0
15.01.2024 07:38:30;0,0;900;0,5;43,5;270,0;265,0;283,39;0;0;0;35,0;0;0;0,0
15.01.2024 07:39:00;0,0;900;0,5;43,6;270,0;265,0;283,58;0;0;0;35,0;0;0;0,0
15.01.2024 07:39:30;0,0;900;0,5;43,5;270,0;265,0;284,32;0;0;0;35,0;0;0;0,0
15.01.2024 07:40:00;0,0;900;0,5;43,4;270,0;265,0;284,9;0;0;0;35,0;0;0;0,0
15.01.2024 07:40:30;0,0;900;0,5;43,2;270,0;265,0;285,13;0;0;0;35,0;0;0;0,0
15.01.2024 07:41:00;0,0;900;0,5;43,3;270,0;265,0;285,71;0;0;0;35,0;0;0;0,0
15.01.2024 07:41:30;0,0;900;0,5;43,2;270,0;265,0;285,84;0;0;0;35,0;0;0;0,0
15.01.2024 07:42:00;0,0;900;0,5;43,2;270,0;265,0;285,79;0;0;0;35,0;0;0;0,0
15.01.2024 07:42:30;0,0;900;0,5;43,2;270,0;265,0;287,13;0;0;0;35,0;0;0;0,0
15.01.2024 07:43:00;0,0;900;0,5;43,3;270,0;265,0;287,5;0;0;0;35,0;0;0;0,0
15.01.2024 07:43:30;0,0;900;0,5;43,3;270,0;265,0;287,76;0;0;0;35,0;0;0;0,0
15.01.2024 07:44:00;0,0;900;0,5;43,3;270,0;265,0;288,16;0;0;0;35,0;0;0;0,0
15.01.2024 07:44:30;0,0;900;0,5;43,2;270,0;265,0;288,88;0;0;0;35,0;0;0;0,0
15.01.2024 07:45:00;0,0;900;0,5;43,2;270,0;265,0;288,85;0;0;0;35,0;0;0;0,0
15.01.2024 07:45:30;0,0;900;0,5;43,1;270,0;265,0;289,2;0;0;0;35,0;0;0;0,0
15.01.2024 07:46:00;0,0;900;0,5;43,2;270,0;265,0;289,77;0;0;0;35,0;0;0;0,0
15.01.2024 07:46:30;0,0;900;0,5;43,2;270,0;265,0;290,6;0;0;0;35,0;0;0;0,0
15.01.2024 07:47:00;0,0;900;0,5;43,2;270,0;265,0;290,24;0;0;0;35,0;0;0;0,0
15.01.2024 07:47:30;0,0;900;0,5;43,1;270,0;265,0;291,42;0;0;0;35,0;0;0;0,0
15.01.2024 07:48:00;0,0;900;0,5;43,1;270,0;265,0;291,28;0;0;0;35,0;0;0;0,0
15.01.2024 07:48:30;0,0;900;0,5;43,2;270,0;265,0;291,55;0;0;0;35,0;0;0;0,0
15.01.2024 07:49:00;0,0;900;0,5;43,0;270,0;265,0;292,66;0;0;0;35,0;0;0;0,0
15.01.2024 07:49:30;0,0;900;0,5;42,9;270,0;265,0;292,66;0;0;0;35,0;0;0;0,0
15.01.2024 07:50:00;0,0;900;0,5;42,9;270,0;265,0;292,7;0;0;0;35,0;0;0;0,0
15.01.2024 07:50:30;0,0;900;0,5;43,1;270,0;265,0;293,38;0;0;0;35,0;0;0;0,0
15.01.2024 07:51:00;0,0;900;0,5;43,2;270,0;265,0;294,16;0;0;0;35,0;0;0;0,0
15.01.2024 07:51:30;0,0;900;0,5;43,2;270,0;265,0;294,63;0;0;0;35,0;0;0;0,0
15.01.2024 07:52:00;0,0;900;0,5;43,2;270,0;265,0;294,54;0;0;0;35,0;0;0;0,0
15.01.2024 07:52:30;0,0;900;0,5;43,4;270,0;265,0;295,18;0;0;0;35,0;0;0;0,0
15.01.2024 07:53:00;0,0;900;0,5;43,4;270,0;265,0;295,67;0;0;0;35,0;0;0;0,0
15.01.2024 07:53:30;0,0;900;0,5;43,4;270,0;265,0;295,65;0;0;0;35,0;0;0;0,0
15.01.2024 07:54:00;0,0;900;0,5;43,5;270,0;265,0;296,34;0;0;0;35,0;0;0;0,0
15.01.2024 07:54:30;0,0;900;0,5;43,5;270,0;265,0;296,61;0;0;0;35,0;0;0;0,0
15.01.2024 07:55:00;0,0;900;0,5;43,6;270,0;265,0;296,85;0;0;0;35,0;0;0;0,0
15.01.2024 07:55:30;0,0;900;0,5;43,5;270,0;265,0;297,25;0;0;0;35,0;0;0;0,0
15.01.2024 07:56:00;0,0;900;0,5;43,7;270,0;265,0;297,81;0;0;0;35,0;0;0;0,0
15.01.2024 07:56:30;0,0;900;0,5;43,8;270,0;265,0;298,18;0;0;0;35,0;0;0;0,0
15.01.2024 07:57:00;0,0;900;0,5;43,8;270,0;265,0;298,39;0;0;0;35,0;0;0;0,0
15.01.2024 07:57:30;0,0;900;0,5;43,9;270,0;265,0;298,82;0;0;0;35,0;0;0;0,0
15.01.2024 07:58:00;0,0;900;0,5;43,7;270,0;265,0;299,66;0;0;0;35,0;0;0;0,0
15.01.2024 07:58:30;0,0;900;0,5;43,8;270,0;265,0;299,78;0;0;0;35,0;0;0;0,0
